node,nodeId,nodeOrder,start,end,duration,state,workId,agvId
Source #11,11,1,16507.900,17107.900,600.000,other,,
Source #22,22,2,16507.900,17107.900,600.000,other,,
Source #12,12,3,16507.900,17107.900,600.000,other,,
Source #29,29,4,16507.900,17107.900,600.000,other,,
Source #43,43,5,16507.900,17107.900,600.000,other,,
Source #54,54,6,16507.900,17107.900,600.000,other,,
Source #1,1,7,16507.900,17107.900,600.000,other,,
Source #65,65,8,16507.900,17107.900,600.000,other,,
EquipmentNode #13,13,9,16507.900,16523.500,15.600,wait,630,
EquipmentNode #13,13,9,16523.500,16526.500,3.000,down,630,
EquipmentNode #13,13,9,16526.500,16526.600,0.100,idle,630,
EquipmentNode #13,13,9,16526.600,16528.600,2.000,process,631,
EquipmentNode #13,13,9,16528.600,16546.700,18.100,wait,631,
EquipmentNode #13,13,9,16546.700,16549.700,3.000,down,631,
EquipmentNode #13,13,9,16549.700,16549.800,0.100,idle,631,
EquipmentNode #13,13,9,16549.800,16551.800,2.000,process,632,
EquipmentNode #13,13,9,16551.800,16569.900,18.100,wait,632,
EquipmentNode #13,13,9,16569.900,16572.900,3.000,down,632,
EquipmentNode #13,13,9,16572.900,16573.000,0.100,idle,632,
EquipmentNode #13,13,9,16573.000,16575.000,2.000,process,633,
EquipmentNode #13,13,9,16575.000,16593.100,18.100,wait,633,
EquipmentNode #13,13,9,16593.100,16596.100,3.000,down,633,
EquipmentNode #13,13,9,16596.100,16596.200,0.100,idle,633,
EquipmentNode #13,13,9,16596.200,16598.200,2.000,process,634,
EquipmentNode #13,13,9,16598.200,16616.300,18.100,wait,634,
EquipmentNode #13,13,9,16616.300,16619.300,3.000,down,634,
EquipmentNode #13,13,9,16619.300,16619.400,0.100,idle,634,
EquipmentNode #13,13,9,16619.400,16621.400,2.000,process,635,
EquipmentNode #13,13,9,16621.400,16639.500,18.100,wait,635,
EquipmentNode #13,13,9,16639.500,16642.500,3.000,down,635,
EquipmentNode #13,13,9,16642.500,16642.600,0.100,idle,635,
EquipmentNode #13,13,9,16642.600,16644.600,2.000,process,636,
EquipmentNode #13,13,9,16644.600,16662.700,18.100,wait,636,
EquipmentNode #13,13,9,16662.700,16665.700,3.000,down,636,
EquipmentNode #13,13,9,16665.700,16665.800,0.100,idle,636,
EquipmentNode #13,13,9,16665.800,16667.800,2.000,process,637,
EquipmentNode #13,13,9,16667.800,16685.900,18.100,wait,637,
EquipmentNode #13,13,9,16685.900,16688.900,3.000,down,637,
EquipmentNode #13,13,9,16688.900,16689.000,0.100,idle,637,
EquipmentNode #13,13,9,16689.000,16691.000,2.000,process,638,
EquipmentNode #13,13,9,16691.000,16709.100,18.100,wait,638,
EquipmentNode #13,13,9,16709.100,16712.100,3.000,down,638,
EquipmentNode #13,13,9,16712.100,16712.200,0.100,idle,638,
EquipmentNode #13,13,9,16712.200,16714.200,2.000,process,639,
EquipmentNode #13,13,9,16714.200,16732.300,18.100,wait,639,
EquipmentNode #13,13,9,16732.300,16735.300,3.000,down,639,
EquipmentNode #13,13,9,16735.300,16735.400,0.100,idle,639,
EquipmentNode #13,13,9,16735.400,16737.400,2.000,process,640,
EquipmentNode #13,13,9,16737.400,16755.500,18.100,wait,640,
EquipmentNode #13,13,9,16755.500,16758.500,3.000,down,640,
